team_number,vanguard_1,vanguard_2,duelist_1,duelist_2,strategist_1,strategist_2,enhancement_details
1,Angela,Thor,Iron Man,Star-Lord,Adam Warlock,Ultron,Adam Warlock <- Ultron; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Thor <- Angela; Ultron <- Iron Man
13,Devil Dinosaur,Venom,Hela,Phoenix,Jeff the Land Shark,Loki,Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix
14,Emma Frost,Groot,Psylocke,Star-Lord,Loki,Mantis,Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot
15,Emma Frost,Groot,Mister Fantastic,Star-Lord,Mantis,Rocket Raccoon,Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot
16,Emma Frost,Groot,Psylocke,Star-Lord,Mantis,Rocket Raccoon,Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Rocket Raccoon <- Groot; Star-Lord <- Groot
17,Emma Frost,Groot,Psylocke,Star-Lord,Mantis,White Fox,Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot; White Fox <- Psylocke
18,Emma Frost,Groot,Star-Lord,The Punisher,Mantis,Rocket Raccoon,Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon
19,Emma Frost,Magneto,Hawkeye,Psylocke,Luna Snow,White Fox,Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke
20,Emma Frost,Magneto,Iron Fist,Psylocke,Luna Snow,White Fox,Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke
21,Emma Frost,Magneto,Namor,Psylocke,Luna Snow,White Fox,Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magneto <- Emma Frost; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke
22,Groot,Venom,Hela,Phoenix,Jeff the Land Shark,Loki,Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix
23,Groot,Venom,Hela,Phoenix,Jeff the Land Shark,Rocket Raccoon,Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Rocket Raccoon <- Groot; Venom <- Phoenix
24,Groot,The Thing,Mister Fantastic,Star-Lord,Invisible Woman,Mantis,Groot <- Mantis; Invisible Woman <- Mister Fantastic; Mantis <- Star-Lord; Mister Fantastic <- The Thing; Star-Lord <- Groot; The Thing <- Invisible Woman
25,Groot,Peni Parker,Mister Fantastic,Star-Lord,Mantis,Rocket Raccoon,Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot
26,Groot,Peni Parker,Spider-Man,Star-Lord,Mantis,Rocket Raccoon,Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Spider-Man <- Peni Parker; Star-Lord <- Groot
27,Groot,Peni Parker,Star-Lord,The Punisher,Mantis,Rocket Raccoon,Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon
28,Thor,Venom,Hela,Phoenix,Jeff the Land Shark,Loki,Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix
