"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"45","Black Cat","Black Panther","Iron Fist","Magik","The Hood","White Fox","Black Cat <- Black Panther; Black Panther <- Magik; Iron Fist <- White Fox; Magik <- The Hood; The Hood <- Magik; White Fox <- Black Cat"
"46","Black Cat","Black Panther","Jubilee","Magik","Peni Parker","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"47","Black Cat","Black Panther","Jubilee","Magik","Scarlet Witch","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"48","Black Cat","Black Panther","Jubilee","Magik","The Hood","White Fox","Black Cat <- Black Panther; Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; White Fox <- Black Cat"
"49","Black Cat","Black Panther","Luna Snow","Magik","The Hood","White Fox","Black Cat <- Black Panther; Black Panther <- Magik; Luna Snow <- White Fox; Magik <- The Hood; The Hood <- Magik; White Fox <- Black Cat"
"50","Black Cat","Black Panther","Magik","Peni Parker","Spider-Man","The Hood","Black Cat <- Black Panther, Spider-Man; Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; Spider-Man <- Peni Parker; The Hood <- Magik"
"51","Black Cat","Black Panther","Magik","Peni Parker","The Hood","Ultron","Black Cat <- Black Panther; Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; Ultron <- Peni Parker"
"52","Black Cat","Black Panther","Magik","Peni Parker","The Hood","White Fox","Black Cat <- Black Panther; Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; White Fox <- Black Cat"
"53","Black Cat","Black Widow","Hela","Phoenix","Spider-Man","Venom","Black Cat <- Spider-Man; Black Widow <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"54","Black Cat","Cyclops","Hela","Phoenix","Spider-Man","Venom","Black Cat <- Spider-Man; Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"55","Black Cat","Deadpool","Hela","Phoenix","Spider-Man","Venom","Black Cat <- Spider-Man; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"56","Black Cat","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Black Cat <- Spider-Man; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"57","Black Cat","Hela","Loki","Phoenix","Spider-Man","Venom","Black Cat <- Spider-Man; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"58","Black Cat","Hela","Phoenix","Spider-Man","Squirrel Girl","Venom","Black Cat <- Spider-Man; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"59","Black Cat","Hela","Phoenix","Spider-Man","Thor","Venom","Black Cat <- Spider-Man; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"60","Black Cat","Hela","Phoenix","Spider-Man","Venom","White Fox","Black Cat <- Spider-Man; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix; White Fox <- Black Cat"
"61","Black Cat","Mister Fantastic","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","Black Cat <- Spider-Man; Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man"
"62","Black Cat","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Punisher","Black Cat <- Spider-Man; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Punisher <- Rocket Raccoon"
"63","Black Cat","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","Ultron","Black Cat <- Spider-Man; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; Ultron <- Peni Parker"
"64","Black Cat","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","White Fox","Black Cat <- Spider-Man; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; White Fox <- Black Cat"
"65","Black Panther","Black Widow","Cloak & Dagger","Hawkeye","Magik","The Hood","Black Panther <- Magik; Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; The Hood <- Magik"
"66","Black Panther","Blade","Cloak & Dagger","Magik","Moon Knight","The Hood","Black Panther <- Magik; Blade <- Moon Knight; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik"
"67","Black Panther","Cloak & Dagger","Gambit","Jubilee","Magik","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"68","Black Panther","Cloak & Dagger","Hawkeye","Jubilee","Magik","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"69","Black Panther","Cloak & Dagger","Hawkeye","Magik","Moon Knight","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik"
"70","Black Panther","Cloak & Dagger","Hawkeye","Magik","Peni Parker","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik"
"71","Black Panther","Cloak & Dagger","Hawkeye","Magik","Psylocke","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"72","Black Panther","Cloak & Dagger","Human Torch","Jubilee","Magik","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"73","Black Panther","Cloak & Dagger","Jubilee","Magik","Moon Knight","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"74","Black Panther","Cloak & Dagger","Jubilee","Magik","Peni Parker","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"75","Black Panther","Cloak & Dagger","Jubilee","Magik","Psylocke","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"76","Black Panther","Cloak & Dagger","Jubilee","Magik","Scarlet Witch","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"77","Black Panther","Cloak & Dagger","Magik","Moon Knight","Peni Parker","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Peni Parker <- Black Panther; The Hood <- Magik"
"78","Black Panther","Cloak & Dagger","Magik","Moon Knight","Psylocke","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"79","Black Panther","Cloak & Dagger","Magik","Peni Parker","Psylocke","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"80","Black Panther","Cloak & Dagger","Magik","Peni Parker","Spider-Man","The Hood","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; Spider-Man <- Peni Parker; The Hood <- Magik"
"81","Black Panther","Cloak & Dagger","Magik","Peni Parker","The Hood","Ultron","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; Ultron <- Peni Parker"
"82","Black Panther","Cloak & Dagger","Magik","Psylocke","The Hood","White Fox","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik; White Fox <- Psylocke"
"83","Black Panther","Cyclops","Gambit","Jubilee","Magik","The Hood","Black Panther <- Magik; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"84","Black Panther","Deadpool","Gambit","Jubilee","Magik","The Hood","Black Panther <- Magik; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"85","Black Panther","Doctor Strange","Invisible Woman","Magik","Mister Fantastic","The Thing","Black Panther <- Magik; Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Magik <- Doctor Strange; Mister Fantastic <- The Thing; The Thing <- Invisible Woman"
"86","Black Panther","Gambit","Human Torch","Jubilee","Magik","The Hood","Black Panther <- Magik; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"87","Black Panther","Gambit","Jubilee","Magik","Peni Parker","The Hood","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"88","Black Panther","Gambit","Jubilee","Magik","Rogue","The Hood","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"89","Black Panther","Gambit","Jubilee","Magik","Scarlet Witch","The Hood","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"90","Black Panther","Gambit","Jubilee","Magik","The Hood","Wolverine","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"91","Black Panther","Groot","Magik","Mantis","Star-Lord","The Hood","Black Panther <- Magik; Groot <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik"
"92","Black Panther","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Black Panther <- Storm; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"93","Black Panther","Hela","Magik","Phoenix","The Hood","Venom","Black Panther <- Magik; Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"94","Black Panther","Hela","Phoenix","Storm","Thor","Venom","Black Panther <- Storm; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"95","Black Panther","Human Torch","Invisible Woman","Jubilee","Magik","The Hood","Black Panther <- Magik; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"96","Black Panther","Human Torch","Jubilee","Magik","Peni Parker","The Hood","Black Panther <- Magik; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"97","Black Panther","Human Torch","Jubilee","Magik","Scarlet Witch","The Hood","Black Panther <- Magik; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"98","Black Panther","Human Torch","Jubilee","Magik","The Hood","The Thing","Black Panther <- Magik; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"99","Black Panther","Invisible Woman","Magik","Mister Fantastic","The Hood","The Thing","Black Panther <- Magik; Invisible Woman <- Mister Fantastic; Magik <- The Hood; Mister Fantastic <- The Thing; The Hood <- Magik; The Thing <- Invisible Woman"
"100","Black Panther","Jubilee","Magik","Magneto","Scarlet Witch","The Hood","Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"101","Black Panther","Jubilee","Magik","Peni Parker","Scarlet Witch","The Hood","Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"102","Black Panther","Jubilee","Magik","Peni Parker","Spider-Man","The Hood","Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; Spider-Man <- Peni Parker; The Hood <- Magik, Jubilee"
"103","Black Panther","Jubilee","Magik","Peni Parker","The Hood","Ultron","Black Panther <- Magik; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee; Ultron <- Peni Parker"
"104","Black Panther","Magik","Peni Parker","Spider-Man","Squirrel Girl","The Hood","Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Hood <- Magik"
"105","Black Panther","Magik","Peni Parker","Spider-Man","The Hood","Ultron","Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; Spider-Man <- Peni Parker; The Hood <- Magik; Ultron <- Peni Parker"
"106","Black Widow","Captain America","Hela","Phoenix","Thor","Venom","Black Widow <- Phoenix; Captain America <- Thor; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"107","Black Widow","Cloak & Dagger","Daredevil","Hawkeye","Jubilee","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Daredevil <- Black Widow; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; The Hood <- Jubilee"
"108","Black Widow","Cloak & Dagger","Daredevil","Hawkeye","Magik","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Daredevil <- Black Widow; Hawkeye <- Cloak & Dagger; Magik <- The Hood; The Hood <- Magik"
"109","Black Widow","Cloak & Dagger","Gambit","Hawkeye","Jubilee","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; The Hood <- Jubilee"
"110","Black Widow","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"111","Black Widow","Cloak & Dagger","Hawkeye","Jubilee","Magik","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"112","Black Widow","Cloak & Dagger","Hawkeye","Jubilee","Moon Knight","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"113","Black Widow","Cloak & Dagger","Hawkeye","Jubilee","Psylocke","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"114","Black Widow","Cloak & Dagger","Hawkeye","Jubilee","Scarlet Witch","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"115","Black Widow","Cloak & Dagger","Hawkeye","Luna Snow","Psylocke","White Fox","Black Widow <- Hawkeye; Cloak & Dagger <- Luna Snow; Hawkeye <- Psylocke, Cloak & Dagger; Luna Snow <- White Fox; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"116","Black Widow","Cloak & Dagger","Hawkeye","Magik","Moon Knight","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik"
"117","Black Widow","Cloak & Dagger","Hawkeye","Magik","Psylocke","The Hood","Black Widow <- Hawkeye; Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"118","Black Widow","Cyclops","Daredevil","Hela","Phoenix","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"119","Black Widow","Cyclops","Deadpool","Hela","Phoenix","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"120","Black Widow","Cyclops","Hela","Jeff the Land Shark","Phoenix","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
