"team_number","vanguard_1","vanguard_2","duelist_1","duelist_2","strategist_1","strategist_2","enhancement_details"
"1","Angela","Thor","Iron Man","Star-Lord","Adam Warlock","Ultron","Adam Warlock <- Ultron; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Thor <- Angela; Ultron <- Iron Man"
"12","Magneto","The Hood","Human Torch","Scarlet Witch","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"13","The Hood","The Thing","Human Torch","Moon Knight","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Moon Knight; The Thing <- Human Torch"
"14","The Hood","The Thing","Human Torch","Scarlet Witch","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; The Thing <- Human Torch"
"15","The Hood","The Thing","Mister Fantastic","Moon Knight","Cloak & Dagger","Invisible Woman","Cloak & Dagger <- The Hood; Invisible Woman <- Mister Fantastic; Mister Fantastic <- The Thing; Moon Knight <- Cloak & Dagger; The Hood <- Moon Knight; The Thing <- Invisible Woman"
"16","Magneto","The Hood","Magik","Scarlet Witch","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"17","Magneto","The Hood","Moon Knight","Scarlet Witch","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magneto <- Scarlet Witch; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch, Moon Knight"
"18","Magneto","The Hood","Psylocke","Scarlet Witch","Cloak & Dagger","Jubilee","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magneto <- Scarlet Witch; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"19","Magneto","The Hood","Cyclops","Scarlet Witch","Gambit","Jubilee","Cyclops <- Gambit; Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"20","Rogue","The Hood","Cyclops","Scarlet Witch","Gambit","Jubilee","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"21","Devil Dinosaur","Venom","Hela","Phoenix","Deadpool","Jeff the Land Shark","Deadpool <- Hela; Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"22","Magneto","The Hood","Deadpool","Scarlet Witch","Gambit","Jubilee","Deadpool <- Gambit; Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"23","Rogue","The Hood","Deadpool","Scarlet Witch","Gambit","Jubilee","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"24","Groot","Venom","Hela","Phoenix","Deadpool","Jeff the Land Shark","Deadpool <- Hela; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"25","Thor","Venom","Hela","Phoenix","Deadpool","Jeff the Land Shark","Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"26","Thor","Venom","Hela","Phoenix","Deadpool","Loki","Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"27","Devil Dinosaur","Groot","Star-Lord","The Punisher","Mantis","Rocket Raccoon","Devil Dinosaur <- The Punisher; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"28","Devil Dinosaur","Venom","Hela","Phoenix","Jeff the Land Shark","Loki","Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"29","Doctor Strange","The Hood","Human Torch","Scarlet Witch","Invisible Woman","Jubilee","Doctor Strange <- Invisible Woman; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Doctor Strange, Jubilee; The Hood <- Scarlet Witch"
"30","Emma Frost","Groot","Psylocke","Star-Lord","Loki","Mantis","Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot"
"31","Emma Frost","Groot","Mister Fantastic","Star-Lord","Mantis","Rocket Raccoon","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"32","Emma Frost","Groot","Psylocke","Star-Lord","Mantis","Rocket Raccoon","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"33","Emma Frost","Groot","Psylocke","Star-Lord","Mantis","White Fox","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot; White Fox <- Psylocke"
"34","Emma Frost","Groot","Star-Lord","The Punisher","Mantis","Rocket Raccoon","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"35","Emma Frost","Magneto","Hawkeye","Psylocke","Luna Snow","White Fox","Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke"
"36","Emma Frost","Magneto","Iron Fist","Psylocke","Luna Snow","White Fox","Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke"
"37","Emma Frost","Magneto","Namor","Psylocke","Luna Snow","White Fox","Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magneto <- Emma Frost; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke"
"38","Hulk","The Hood","Scarlet Witch","Wolverine","Gambit","Jubilee","Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; Wolverine <- Gambit"
"39","Magneto","The Hood","Human Torch","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee, Magneto; Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"40","Rogue","The Hood","Human Torch","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"41","The Hood","The Thing","Human Torch","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; The Thing <- Human Torch"
"42","Magneto","The Hood","Magik","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"43","Rogue","The Hood","Magik","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"44","Magneto","The Hood","Scarlet Witch","Wolverine","Gambit","Jubilee","Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; Wolverine <- Gambit"
"45","Rogue","The Hood","Phoenix","Scarlet Witch","Gambit","Jubilee","Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"46","Rogue","The Hood","Scarlet Witch","Wolverine","Gambit","Jubilee","Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; Wolverine <- Gambit"
"47","Groot","Venom","Hela","Phoenix","Jeff the Land Shark","Loki","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"48","Groot","Venom","Hela","Phoenix","Jeff the Land Shark","Rocket Raccoon","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Rocket Raccoon <- Groot; Venom <- Phoenix"
"49","Groot","The Thing","Mister Fantastic","Star-Lord","Invisible Woman","Mantis","Groot <- Mantis; Invisible Woman <- Mister Fantastic; Mantis <- Star-Lord; Mister Fantastic <- The Thing; Star-Lord <- Groot; The Thing <- Invisible Woman"
"50","Groot","The Hood","Scarlet Witch","Star-Lord","Jubilee","Mantis","Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Scarlet Witch <- Jubilee; Star-Lord <- Groot; The Hood <- Scarlet Witch"
"51","Groot","Peni Parker","Mister Fantastic","Star-Lord","Mantis","Rocket Raccoon","Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"52","Groot","Peni Parker","Spider-Man","Star-Lord","Mantis","Rocket Raccoon","Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Spider-Man <- Peni Parker; Star-Lord <- Groot"
"53","Groot","Peni Parker","Star-Lord","The Punisher","Mantis","Rocket Raccoon","Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"54","Thor","Venom","Hela","Phoenix","Jeff the Land Shark","Loki","Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"55","Magneto","The Hood","Human Torch","Scarlet Witch","Invisible Woman","Jubilee","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch"
"56","The Hood","The Thing","Human Torch","Scarlet Witch","Invisible Woman","Jubilee","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; The Thing <- Human Torch, Invisible Woman"
"57","The Hood","The Thing","Mister Fantastic","Scarlet Witch","Invisible Woman","Jubilee","Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; Scarlet Witch <- Jubilee; The Hood <- Scarlet Witch; The Thing <- Invisible Woman"
